entity_dir,track,level,method,source,coverage,gradient,mean_diff
Faxonius_limosus_alien,combined,3,isotonic,null,0.99506,-0.13988,-0.00075
Faxonius_limosus_alien,combined,10,isotonic,contaminated,0.91278,0.40223,0.01911
Faxonius_limosus_alien,combined,10,isotonic,null,0.99237,-0.12034,-0.00317
Faxonius_limosus_alien,combined,20,isotonic,contaminated,0.85208,0.60699,0.02838
Faxonius_limosus_alien,combined,20,isotonic,null,0.98644,-0.07962,-0.00776
Faxonius_limosus_alien,local_only,3,uncalibrated,contaminated,0.97407,0.36001,0.00876
Faxonius_limosus_alien,local_only,3,uncalibrated,null,0.99217,-0.00798,-0.00175
Faxonius_limosus_alien,local_only,10,uncalibrated,contaminated,0.90754,0.47818,0.02064
Faxonius_limosus_alien,local_only,10,uncalibrated,null,0.98943,-0.02069,-0.00464
Faxonius_limosus_alien,local_only,20,uncalibrated,contaminated,0.84206,0.57741,0.03151
Faxonius_limosus_alien,local_only,20,uncalibrated,null,0.9799,-0.07006,-0.01033
Faxonius_limosus_alien,local_only,3,platt,contaminated,0.96993,0.38594,0.0095
Faxonius_limosus_alien,local_only,3,platt,null,0.99317,-0.04936,-0.00195
Faxonius_limosus_alien,local_only,10,platt,contaminated,0.90639,0.52132,0.02075
Faxonius_limosus_alien,local_only,10,platt,null,0.99057,0.00424,-0.00458
Faxonius_limosus_alien,local_only,20,platt,contaminated,0.83333,0.6016,0.03102
Faxonius_limosus_alien,local_only,20,platt,null,0.97811,-0.04014,-0.01026
Faxonius_limosus_alien,local_only,3,isotonic,contaminated,0.97132,0.16309,0.00729
Faxonius_limosus_alien,local_only,3,isotonic,null,0.99117,-0.19316,-0.00194
Faxonius_limosus_alien,local_only,10,isotonic,contaminated,0.91003,0.38127,0.01759
Faxonius_limosus_alien,local_only,10,isotonic,null,0.98873,-0.10587,-0.004
Faxonius_limosus_alien,local_only,20,isotonic,contaminated,0.84864,0.52016,0.02733
