bin,n,frac_over_mean,frac_over_median,entity_dir,track,level,mask
2,2374,0.8909,0.60152,Austropotamobius_torrentium_pooled,combined,3,all
3,2374,0.71693,0.72409,Austropotamobius_torrentium_pooled,combined,3,all
4,2375,0.52674,0.61221,Austropotamobius_torrentium_pooled,combined,3,all
0,2163,0.89552,0.55895,Austropotamobius_torrentium_pooled,combined,3,never_trained
1,2163,0.93897,0.59732,Austropotamobius_torrentium_pooled,combined,3,never_trained
2,2162,0.88853,0.61055,Austropotamobius_torrentium_pooled,combined,3,never_trained
3,2163,0.71336,0.74526,Austropotamobius_torrentium_pooled,combined,3,never_trained
4,2163,0.51826,0.59963,Austropotamobius_torrentium_pooled,combined,3,never_trained
0,2375,0.95411,0.78021,Austropotamobius_torrentium_pooled,local_only,10,all
1,2374,0.97515,0.83614,Austropotamobius_torrentium_pooled,local_only,10,all
2,2374,0.92797,0.79697,Austropotamobius_torrentium_pooled,local_only,10,all
3,2374,0.78138,0.79233,Austropotamobius_torrentium_pooled,local_only,10,all
4,2375,0.54189,0.65011,Austropotamobius_torrentium_pooled,local_only,10,all
0,2150,0.95349,0.78279,Austropotamobius_torrentium_pooled,local_only,10,never_trained
1,2149,0.97301,0.83806,Austropotamobius_torrentium_pooled,local_only,10,never_trained
2,2149,0.92275,0.80409,Austropotamobius_torrentium_pooled,local_only,10,never_trained
3,2149,0.78362,0.80456,Austropotamobius_torrentium_pooled,local_only,10,never_trained
4,2150,0.53721,0.63302,Austropotamobius_torrentium_pooled,local_only,10,never_trained
0,2375,0.95705,0.88168,Austropotamobius_torrentium_pooled,local_only,20,all
1,2374,0.97936,0.93471,Austropotamobius_torrentium_pooled,local_only,20,all
2,2374,0.94693,0.88964,Austropotamobius_torrentium_pooled,local_only,20,all
3,2374,0.75442,0.77085,Austropotamobius_torrentium_pooled,local_only,20,all
4,2375,0.48842,0.60379,Austropotamobius_torrentium_pooled,local_only,20,all
0,2130,0.95399,0.87887,Austropotamobius_torrentium_pooled,local_only,20,never_trained
1,2130,0.9784,0.93615,Austropotamobius_torrentium_pooled,local_only,20,never_trained
