cell,member,before_brier,before_ece,before_cal_intercept,before_cal_slope,platt_brier,platt_ece,platt_cal_intercept,platt_cal_slope,isotonic_brier,isotonic_ece,isotonic_cal_intercept,isotonic_cal_slope,entity_dir,track,level
Austropotamobius_fulcisianus_pooled__consensus__local_only__benchmark__L0,glm,0.25072,0.15042,-0.0735,0.29705,0.30857,0.2448,0.05878,-0.27964,0.28393,0.21601,-0.00201,-0.00368,Austropotamobius_fulcisianus_pooled,local_only,0
Austropotamobius_fulcisianus_pooled__consensus__local_only__benchmark__L0,gam,0.22184,0.09817,-0.18926,0.53087,0.26972,0.12765,-0.02486,0.19351,0.27984,0.25442,0.00105,0.11278,Austropotamobius_fulcisianus_pooled,local_only,0
Austropotamobius_fulcisianus_pooled__consensus__local_only__benchmark__L0,random_forest,0.14818,0.13631,-0.62267,1.84796,0.15386,0.06645,-0.10522,0.8386,0.15783,0.07525,-0.18113,0.72566,Austropotamobius_fulcisianus_pooled,local_only,0
Austropotamobius_fulcisianus_pooled__consensus__local_only__benchmark__L0,xgboost,0.16995,0.13123,-0.63875,0.6235,0.16811,0.05442,-0.05334,0.80702,0.16869,0.09383,-0.12343,0.71473,Austropotamobius_fulcisianus_pooled,local_only,0
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L10,glm,0.25682,0.13527,-0.06824,0.2648,0.31842,0.26484,0.09871,-0.30665,0.29329,0.22793,0.03546,-0.06623,Austropotamobius_fulcisianus_pooled,local_only,10
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L10,gam,0.25195,0.13203,-0.13148,0.30168,0.30596,0.23207,0.04591,-0.1953,0.29427,0.20631,0.00211,-0.00422,Austropotamobius_fulcisianus_pooled,local_only,10
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L10,random_forest,0.17842,0.11656,-0.6837,1.4689,0.19681,0.06626,-0.09869,0.72038,0.20233,0.13045,-0.15794,0.57142,Austropotamobius_fulcisianus_pooled,local_only,10
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L10,xgboost,0.19275,0.1569,-0.60031,0.53837,0.18553,0.04958,-0.06469,0.78911,0.18855,0.10039,-0.06843,0.66968,Austropotamobius_fulcisianus_pooled,local_only,10
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L20,glm,0.23416,0.14378,-0.07475,0.46425,0.343,0.31944,0.45228,-0.94909,0.33345,0.31706,0.25717,-0.42255,Austropotamobius_fulcisianus_pooled,local_only,20
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L20,gam,0.3758,0.31138,0.26402,-0.19846,0.40494,0.45827,1.16049,-1.65702,0.42809,0.48194,0.78239,-1.14216,Austropotamobius_fulcisianus_pooled,local_only,20
