binning,bin,frac_over,mean_diff,n,entity,entity_dir,track,level,source
benchmark,0,0.79439,0.00196,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
benchmark,1,0.76992,0.00293,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
benchmark,2,0.69398,0.00349,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
benchmark,3,0.59184,0.00373,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
benchmark,4,0.53905,0.00347,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
bland_altman,0,0.78496,0.00176,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
bland_altman,1,0.76847,0.00271,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
bland_altman,2,0.69212,0.00313,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
bland_altman,3,0.58655,0.00343,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
bland_altman,4,0.55707,0.00456,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,contaminated
benchmark,0,0.60576,0.00048,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
benchmark,1,0.58863,0.00056,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
benchmark,2,0.53258,0.00029,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
benchmark,3,0.4784,-0.00046,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
benchmark,4,0.44148,-0.00266,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
bland_altman,0,0.59623,0.00037,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
bland_altman,1,0.58604,0.00045,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
bland_altman,2,0.53165,0.00013,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
bland_altman,3,0.47643,-0.00075,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
bland_altman,4,0.45649,-0.00197,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,3,null
benchmark,0,0.85187,0.00412,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
benchmark,1,0.85424,0.00728,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
benchmark,2,0.79923,0.00968,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
benchmark,3,0.66332,0.01074,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
benchmark,4,0.59188,0.01057,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
bland_altman,0,0.84007,0.00366,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
bland_altman,1,0.85269,0.00661,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
bland_altman,2,0.79478,0.00866,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
bland_altman,3,0.65617,0.01008,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
bland_altman,4,0.61684,0.01337,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,contaminated
benchmark,0,0.4365,-0.00043,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
benchmark,1,0.46877,-0.00064,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
benchmark,2,0.42992,-0.00144,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
benchmark,3,0.39418,-0.00301,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
benchmark,4,0.38057,-0.0063,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
bland_altman,0,0.42449,-0.0006,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
bland_altman,1,0.46628,-0.00078,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
bland_altman,2,0.42868,-0.00164,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
bland_altman,3,0.39356,-0.00337,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
bland_altman,4,0.39693,-0.00544,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,10,null
benchmark,0,0.95359,0.01001,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
benchmark,1,0.9365,0.01497,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
benchmark,2,0.86605,0.01803,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
benchmark,3,0.67948,0.01858,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
benchmark,4,0.60224,0.01989,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
bland_altman,0,0.94748,0.00917,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
bland_altman,1,0.93225,0.0134,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
bland_altman,2,0.85321,0.01577,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
bland_altman,3,0.66384,0.01669,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
bland_altman,4,0.64108,0.02645,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,contaminated
benchmark,0,0.45712,-0.00078,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
benchmark,1,0.46421,-0.00129,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
benchmark,2,0.39791,-0.00269,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
benchmark,3,0.32353,-0.00579,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
benchmark,4,0.31313,-0.01046,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
bland_altman,0,0.44282,-0.00099,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
bland_altman,1,0.46276,-0.00147,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
bland_altman,2,0.40029,-0.00287,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
bland_altman,3,0.32104,-0.00625,9653,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
bland_altman,4,0.32898,-0.00943,9654,Procambarus clarkii (alien),Procambarus_clarkii_alien,combined,20,null
benchmark,0,0.96636,0.00831,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
benchmark,1,0.92243,0.01406,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
benchmark,2,0.6384,0.01463,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
benchmark,3,0.57316,0.01208,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
benchmark,4,0.49226,0.00344,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
