entity,algorithm,track,axis,level,auc_mean,tss_mean,brier_mean,boyce_mean,auc_std,tss_std,brier_std,boyce_std,n_reps_ok,min_folds,benchmark_presence_n,segments,auc_clean,tss_clean,brier_clean,boyce_clean,delta_auc,delta_tss,delta_brier,delta_boyce
Austropotamobius torrentium (pooled),random_forest,local_only,lowacc,10,0.8036,0.3506,0.1733,0.8335,0.0431,0.0597,0.0118,0.1222,30,5.0,1032.0,11872.0,0.8528,0.4602,0.1779,0.8206,-0.0492,-0.1096,-0.0047,0.0128
Austropotamobius torrentium (pooled),random_forest,local_only,lowacc,20,0.7898,0.3253,0.1722,0.8658,0.0295,0.0417,0.0058,0.0714,30,5.0,1032.0,11872.0,0.8528,0.4602,0.1779,0.8206,-0.0629,-0.1348,-0.0057,0.0452
Austropotamobius torrentium (pooled),random_forest,upstream_only,benchmark,0,0.7351,0.4071,0.2056,0.8253,,,,,1,5.0,1032.0,11872.0,0.7351,0.4071,0.2056,0.8253,0.0,0.0,0.0,0.0
Austropotamobius torrentium (pooled),random_forest,upstream_only,lowacc,3,0.7044,0.3389,0.2124,0.7363,0.0253,0.0566,0.0193,0.1193,30,5.0,1032.0,11872.0,0.7351,0.4071,0.2056,0.8253,-0.0307,-0.0681,0.0067,-0.0889
Austropotamobius torrentium (pooled),random_forest,upstream_only,lowacc,10,0.7054,0.3167,0.1992,0.7347,0.0286,0.045,0.0129,0.1202,30,5.0,1032.0,11872.0,0.7351,0.4071,0.2056,0.8253,-0.0297,-0.0904,-0.0065,-0.0906
Austropotamobius torrentium (pooled),random_forest,upstream_only,lowacc,20,0.7058,0.2895,0.1922,0.7449,0.0231,0.048,0.007,0.1137,30,5.0,1032.0,11872.0,0.7351,0.4071,0.2056,0.8253,-0.0293,-0.1176,-0.0134,-0.0804
Austropotamobius torrentium (pooled),xgboost,combined,benchmark,0,0.8372,0.4169,0.2214,0.5,,,,,1,5.0,1032.0,11872.0,0.8372,0.4169,0.2214,0.5,0.0,0.0,0.0,0.0
Austropotamobius torrentium (pooled),xgboost,combined,lowacc,3,0.8003,0.3528,0.2071,0.512,0.0421,0.0779,0.0217,0.2044,30,5.0,1032.0,11872.0,0.8372,0.4169,0.2214,0.5,-0.0369,-0.0642,-0.0143,0.012
Austropotamobius torrentium (pooled),xgboost,combined,lowacc,10,0.8023,0.3442,0.1974,0.512,0.0432,0.0632,0.0185,0.1886,30,5.0,1032.0,11872.0,0.8372,0.4169,0.2214,0.5,-0.0349,-0.0727,-0.024,0.0121
Austropotamobius torrentium (pooled),xgboost,combined,lowacc,20,0.7912,0.3259,0.1949,0.5765,0.0316,0.0557,0.0129,0.1669,30,5.0,1032.0,11872.0,0.8372,0.4169,0.2214,0.5,-0.046,-0.091,-0.0266,0.0765
Austropotamobius torrentium (pooled),xgboost,local_only,benchmark,0,0.8394,0.4287,0.2188,0.6023,,,,,1,5.0,1032.0,11872.0,0.8394,0.4287,0.2188,0.6023,0.0,0.0,0.0,0.0
Austropotamobius torrentium (pooled),xgboost,local_only,lowacc,3,0.8052,0.3495,0.205,0.498,0.0434,0.0798,0.0206,0.2288,30,5.0,1032.0,11872.0,0.8394,0.4287,0.2188,0.6023,-0.0342,-0.0792,-0.0139,-0.1043
Austropotamobius torrentium (pooled),xgboost,local_only,lowacc,10,0.8052,0.3515,0.1949,0.5127,0.0432,0.0651,0.0193,0.183,30,5.0,1032.0,11872.0,0.8394,0.4287,0.2188,0.6023,-0.0342,-0.0772,-0.0239,-0.0896
Austropotamobius torrentium (pooled),xgboost,local_only,lowacc,20,0.7937,0.3302,0.1938,0.5675,0.0316,0.0555,0.014,0.1539,30,5.0,1032.0,11872.0,0.8394,0.4287,0.2188,0.6023,-0.0457,-0.0986,-0.025,-0.0348
Austropotamobius torrentium (pooled),xgboost,upstream_only,benchmark,0,0.7458,0.4201,0.223,0.5598,,,,,1,5.0,1032.0,11872.0,0.7458,0.4201,0.223,0.5598,0.0,0.0,0.0,0.0
Austropotamobius torrentium (pooled),xgboost,upstream_only,lowacc,3,0.7022,0.3306,0.2431,0.5249,0.0226,0.0545,0.0297,0.1594,30,5.0,1032.0,11872.0,0.7458,0.4201,0.223,0.5598,-0.0436,-0.0896,0.0202,-0.0348
Austropotamobius torrentium (pooled),xgboost,upstream_only,lowacc,10,0.7085,0.3341,0.2187,0.5023,0.0265,0.0465,0.0194,0.1496,30,5.0,1032.0,11872.0,0.7458,0.4201,0.223,0.5598,-0.0373,-0.0861,-0.0042,-0.0575
Austropotamobius torrentium (pooled),xgboost,upstream_only,lowacc,20,0.7101,0.3155,0.2097,0.5254,0.0245,0.0472,0.0119,0.1393,30,5.0,1032.0,11872.0,0.7458,0.4201,0.223,0.5598,-0.0357,-0.1046,-0.0132,-0.0344
Faxonius limosus (alien),random_forest,combined,benchmark,0,0.8048,0.4663,0.1834,0.9927,,,,,1,5.0,3811.0,20052.0,0.8048,0.4663,0.1834,0.9927,0.0,0.0,0.0,0.0
Faxonius limosus (alien),random_forest,combined,lowacc,3,0.7951,0.4312,0.1891,0.9938,0.0071,0.0183,0.0035,0.0125,30,5.0,3811.0,20052.0,0.8048,0.4663,0.1834,0.9927,-0.0098,-0.0351,0.0057,0.0011
Faxonius limosus (alien),random_forest,combined,lowacc,10,0.7778,0.4054,0.1968,0.9973,0.0081,0.021,0.0035,0.0036,30,5.0,3811.0,20052.0,0.8048,0.4663,0.1834,0.9927,-0.0271,-0.0609,0.0134,0.0046
Faxonius limosus (alien),random_forest,combined,lowacc,20,0.7496,0.3678,0.2014,0.9915,0.0152,0.0272,0.0045,0.0092,30,5.0,3811.0,20052.0,0.8048,0.4663,0.1834,0.9927,-0.0552,-0.0985,0.018,-0.0012
Faxonius limosus (alien),random_forest,local_only,benchmark,0,0.8002,0.4625,0.1849,0.9927,,,,,1,5.0,3811.0,20052.0,0.8002,0.4625,0.1849,0.9927,0.0,0.0,0.0,0.0
Faxonius limosus (alien),random_forest,local_only,lowacc,3,0.7929,0.4286,0.19,0.9938,0.0069,0.0189,0.0034,0.0088,30,5.0,3811.0,20052.0,0.8002,0.4625,0.1849,0.9927,-0.0073,-0.0339,0.0051,0.0011
Faxonius limosus (alien),random_forest,local_only,lowacc,10,0.7756,0.4044,0.1976,0.9967,0.0082,0.0225,0.0033,0.0047,30,5.0,3811.0,20052.0,0.8002,0.4625,0.1849,0.9927,-0.0246,-0.0581,0.0127,0.004
Faxonius limosus (alien),random_forest,local_only,lowacc,20,0.7487,0.3703,0.2015,0.9918,0.015,0.0288,0.0043,0.0097,30,5.0,3811.0,20052.0,0.8002,0.4625,0.1849,0.9927,-0.0515,-0.0922,0.0166,-0.0009
Faxonius limosus (alien),random_forest,upstream_only,benchmark,0,0.7364,0.3641,0.2048,0.9976,,,,,1,5.0,3811.0,20052.0,0.7364,0.3641,0.2048,0.9976,0.0,0.0,0.0,0.0
Faxonius limosus (alien),random_forest,upstream_only,lowacc,3,0.7369,0.3536,0.2065,0.9923,0.0072,0.0113,0.0026,0.0074,30,5.0,3811.0,20052.0,0.7364,0.3641,0.2048,0.9976,0.0005,-0.0104,0.0017,-0.0053
Faxonius limosus (alien),random_forest,upstream_only,lowacc,10,0.7221,0.324,0.211,0.9926,0.0081,0.0132,0.0023,0.0048,30,5.0,3811.0,20052.0,0.7364,0.3641,0.2048,0.9976,-0.0143,-0.04,0.0063,-0.005
Faxonius limosus (alien),random_forest,upstream_only,lowacc,20,0.6972,0.2808,0.2151,0.9811,0.0125,0.0175,0.0033,0.0252,30,5.0,3811.0,20052.0,0.7364,0.3641,0.2048,0.9976,-0.0393,-0.0833,0.0103,-0.0164
Faxonius limosus (alien),xgboost,combined,benchmark,0,0.7934,0.46,0.1885,0.9927,,,,,1,5.0,3811.0,20052.0,0.7934,0.46,0.1885,0.9927,0.0,0.0,0.0,0.0
Faxonius limosus (alien),xgboost,combined,lowacc,3,0.787,0.4286,0.1955,0.9851,0.0083,0.0179,0.0046,0.0162,30,5.0,3811.0,20052.0,0.7934,0.46,0.1885,0.9927,-0.0064,-0.0314,0.0069,-0.0077
Faxonius limosus (alien),xgboost,combined,lowacc,10,0.7714,0.3993,0.2017,0.9899,0.0121,0.0227,0.0068,0.0101,30,5.0,3811.0,20052.0,0.7934,0.46,0.1885,0.9927,-0.022,-0.0606,0.0131,-0.0028
Faxonius limosus (alien),xgboost,combined,lowacc,20,0.7459,0.3638,0.2065,0.9782,0.0159,0.0275,0.0066,0.021,30,5.0,3811.0,20052.0,0.7934,0.46,0.1885,0.9927,-0.0474,-0.0962,0.018,-0.0145
