model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
consensus_median,0.8021,0.092,0.8491,0.5063,0.3554,0.7681,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,20,1915,383
gam,0.6974,0.1235,0.8392,0.4272,0.2663,0.5451,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,20,1915,383
glm,0.626,0.1358,0.764,0.5112,0.2752,0.5692,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,20,1915,383
random_forest,0.8713,0.0864,0.8731,0.5973,0.4705,0.916,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,20,1915,383
xgboost,0.864,0.0866,0.8574,0.5826,0.44,0.7601,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,20,1915,383
consensus_mean,0.6758,0.1217,0.9326,0.176,0.1087,0.5284,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,3,1915,57
consensus_median,0.6811,0.1223,0.9394,0.1859,0.1254,0.5818,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,3,1915,57
gam,0.5086,0.1972,0.9415,0.1104,0.052,-0.1259,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,3,1915,57
glm,0.5109,0.1244,0.7953,0.3316,0.1269,-0.055,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,3,1915,57
random_forest,0.8041,0.1235,0.9629,0.2434,0.2063,0.6707,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,3,1915,57
xgboost,0.7957,0.123,0.9352,0.3383,0.2735,0.7195,5,Procambarus clarkii (native),Procambarus_clarkii_native,local_only,3,1915,57
consensus_mean,0.7772,0.1384,0.9431,0.3906,0.3337,0.7456,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,0,1915,0
consensus_median,0.7827,0.1344,0.9436,0.393,0.3366,0.7383,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,0,1915,0
gam,0.7041,0.2086,0.9452,0.3168,0.262,0.8855,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,0,1915,0
glm,0.6975,0.1632,0.7567,0.4148,0.1715,0.3906,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,0,1915,0
random_forest,0.7869,0.1239,0.8381,0.4487,0.2868,0.8346,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,0,1915,0
xgboost,0.7824,0.1386,0.9279,0.4201,0.348,0.5942,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,0,1915,0
consensus_mean,0.6994,0.1694,0.965,0.1779,0.1429,0.7794,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,10,1915,192
consensus_median,0.7231,0.168,0.9645,0.1788,0.1432,0.8182,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,10,1915,192
gam,0.6804,0.2181,0.9342,0.2175,0.1517,0.7455,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,10,1915,192
glm,0.5901,0.2086,0.752,0.2143,-0.0337,0.0229,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,10,1915,192
random_forest,0.6968,0.1513,0.8768,0.2117,0.0884,0.8197,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,10,1915,192
xgboost,0.7046,0.171,0.9347,0.239,0.1737,0.6122,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,10,1915,192
consensus_mean,0.8032,0.1364,0.9342,0.3864,0.3206,0.9176,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,20,1915,383
consensus_median,0.7994,0.1339,0.9342,0.3719,0.3061,0.9103,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,20,1915,383
gam,0.7388,0.1932,0.9441,0.3376,0.2818,0.8563,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,20,1915,383
glm,0.7049,0.1647,0.7708,0.4092,0.1799,0.4642,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,20,1915,383
random_forest,0.8027,0.1255,0.8308,0.4849,0.3157,0.8563,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,20,1915,383
xgboost,0.7982,0.1387,0.9175,0.4298,0.3472,0.6579,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,20,1915,383
consensus_mean,0.6713,0.1689,0.964,0.1248,0.0888,0.6753,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,3,1915,57
consensus_median,0.6723,0.1668,0.9603,0.1258,0.0861,0.7699,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,3,1915,57
gam,0.6484,0.2117,0.9389,0.174,0.1129,0.3789,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,3,1915,57
glm,0.5396,0.2059,0.7572,0.1994,-0.0434,-0.0785,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,3,1915,57
random_forest,0.6773,0.1512,0.883,0.1915,0.0745,0.6398,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,3,1915,57
xgboost,0.6999,0.1767,0.9399,0.2082,0.1481,0.3671,5,Procambarus clarkii (native),Procambarus_clarkii_native,upstream_only,3,1915,57
