model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
consensus_mean,0.7767,0.1826,0.8262,0.5227,0.3489,0.9351,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,10,744,74
consensus_median,0.7628,0.1888,0.8175,0.5242,0.3416,0.9152,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,10,744,74
gam,0.6949,0.2341,0.7632,0.4862,0.2494,0.6568,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,10,744,74
glm,0.6672,0.236,0.7178,0.5095,0.2273,0.6048,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,10,744,74
random_forest,0.8007,0.1695,0.8612,0.5079,0.3691,0.9364,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,10,744,74
xgboost,0.8115,0.176,0.8515,0.4905,0.342,0.5742,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,10,744,74
consensus_mean,0.7683,0.2147,0.8852,0.4001,0.2852,0.8448,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,20,744,149
consensus_median,0.7447,0.2346,0.8751,0.4306,0.3057,0.8454,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,20,744,149
gam,0.6257,0.2908,0.7787,0.3313,0.11,0.3473,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,20,744,149
glm,0.6726,0.2218,0.7547,0.492,0.2467,0.6809,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,20,744,149
random_forest,0.7826,0.2303,0.8913,0.4489,0.3401,0.8061,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,20,744,149
xgboost,0.8042,0.2378,0.9185,0.385,0.3035,0.711,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,20,744,149
consensus_mean,0.7904,0.1983,0.8629,0.4448,0.3077,0.8986,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,3,744,22
consensus_median,0.7779,0.2109,0.8603,0.4328,0.2931,0.8398,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,3,744,22
gam,0.6964,0.2685,0.778,0.3564,0.1344,0.3853,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,3,744,22
glm,0.6882,0.2199,0.7459,0.5008,0.2467,0.4527,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,3,744,22
random_forest,0.7904,0.2117,0.8885,0.4577,0.3461,0.7745,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,3,744,22
xgboost,0.809,0.2204,0.8856,0.4487,0.3343,0.4519,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,local_only,3,744,22
consensus_mean,0.7136,0.2323,0.7807,0.4705,0.2512,0.8109,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,0,744,0
consensus_median,0.7058,0.2341,0.777,0.4532,0.2302,0.9216,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,0,744,0
gam,0.6355,0.2854,0.6996,0.4772,0.1768,0.8448,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,0,744,0
glm,0.6055,0.2589,0.7831,0.3746,0.1576,0.6278,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,0,744,0
random_forest,0.7115,0.2137,0.806,0.4313,0.2373,0.8495,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,0,744,0
xgboost,0.6895,0.2475,0.6987,0.4908,0.1895,0.6708,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,0,744,0
consensus_mean,0.6802,0.2358,0.7728,0.4226,0.1954,0.8942,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,10,744,74
consensus_median,0.6773,0.2378,0.774,0.416,0.19,0.9234,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,10,744,74
gam,0.6394,0.2802,0.6824,0.4601,0.1425,0.8341,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,10,744,74
glm,0.632,0.2548,0.8004,0.3452,0.1455,0.7008,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,10,744,74
random_forest,0.6567,0.2286,0.7829,0.3775,0.1604,0.8379,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,10,744,74
xgboost,0.6645,0.257,0.5873,0.5647,0.1521,0.6364,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,10,744,74
consensus_mean,0.6751,0.2641,0.789,0.3809,0.1699,0.8949,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,20,744,149
consensus_median,0.6618,0.2712,0.786,0.3689,0.155,0.8916,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,20,744,149
gam,0.5946,0.3207,0.7094,0.359,0.0684,0.7328,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,20,744,149
glm,0.6021,0.2665,0.8227,0.2941,0.1168,0.6766,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,20,744,149
random_forest,0.6643,0.2494,0.7889,0.381,0.17,0.7404,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,20,744,149
xgboost,0.6716,0.2942,0.7014,0.4376,0.139,0.7976,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,20,744,149
consensus_mean,0.6496,0.267,0.8086,0.363,0.1716,0.7392,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,3,744,22
consensus_median,0.6563,0.2738,0.7936,0.3681,0.1617,0.8701,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,3,744,22
gam,0.5787,0.3364,0.6802,0.3963,0.0764,0.5338,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,3,744,22
glm,0.5696,0.2818,0.7599,0.3355,0.0955,0.3801,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,3,744,22
random_forest,0.6659,0.2409,0.8068,0.3757,0.1825,0.7783,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,3,744,22
xgboost,0.6725,0.2867,0.6335,0.509,0.1424,0.4756,5,Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,upstream_only,3,744,22
consensus_mean,0.8645,0.1706,0.7141,0.7705,0.4845,0.8493,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,0,1032,0
consensus_median,0.8631,0.1773,0.7047,0.7792,0.4839,0.8775,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,0,1032,0
gam,0.8114,0.2221,0.6554,0.7381,0.3935,0.7333,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,0,1032,0
glm,0.7919,0.1951,0.6873,0.7016,0.3889,0.8877,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,0,1032,0
random_forest,0.858,0.169,0.6849,0.8222,0.507,0.8409,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,0,1032,0
xgboost,0.8574,0.1881,0.7235,0.7587,0.4822,0.7646,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,0,1032,0
consensus_mean,0.7838,0.1798,0.7284,0.686,0.4144,0.7518,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,10,1032,103
consensus_median,0.7794,0.1851,0.7264,0.6948,0.4212,0.7888,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,10,1032,103
gam,0.7601,0.2139,0.6483,0.7252,0.3735,0.7382,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,10,1032,103
glm,0.7606,0.1894,0.6771,0.6899,0.367,0.9055,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,10,1032,103
random_forest,0.782,0.1914,0.7151,0.6909,0.4061,0.7403,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,10,1032,103
xgboost,0.7877,0.208,0.7416,0.6574,0.3989,0.3768,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,10,1032,103
